period_start,period_end,metric,amount_usd_millions,reported_basis,source
2025-01-05,2025-06-30,Gross toll revenue,335.0,reported year-to-date,MTA Finance Committee minutes July 2025
2025-01-05,2025-06-30,Program expenses,66.0,reported year-to-date,MTA Finance Committee minutes July 2025
2025-01-05,2025-06-30,Net revenue,268.5,reported year-to-date,MTA Finance Committee minutes July 2025
2025-01-05,2026-01-04,Net revenue,562.0,first-year public total,City of New York Preliminary Official Statement March 2026
2025-01-05,2025-12-31,Net revenue projection,500.0,MTA financial-plan projection,MTA July Financial Plan 2026-2029
