"row_idx","trip_date","pickup_datetime","pickup_borough","dropoff_borough","fare_amount","total_amount","cbd_congestion_fee","congestion_surcharge","trip_distance","payment_type"
"52","2025-01-01","2025-01-01 00:02:14","Manhattan","Manhattan","10.0","15.0","0.0","2.5","1.2","1.0"
"53","2025-01-01","2025-01-01 00:02:16","Manhattan","Manhattan","21.2","31.44","0.0","2.5","4.64","1.0"
"54","2025-01-01","2025-01-01 00:02:20","Queens","Queens","19.8","37.24","0.0","0.0","4.55","1.0"
"55","2025-01-01","2025-01-01 00:02:20","Manhattan","Manhattan","3.7","8.7","0.0","2.5","0.12","2.0"
"56","2025-01-01","2025-01-01 00:02:23","Manhattan","Manhattan","14.2","23.04","0.0","2.5","2.55","1.0"
"57","2025-01-01","2025-01-01 00:02:24","Queens","Queens","15.6","25.28","0.0","0.0","3.28","1.0"
"58","2025-01-01","2025-01-01 00:02:25","Manhattan","Manhattan","10.0","15.0","0.0","2.5","1.5","2.0"
"59","2025-01-01","2025-01-01 00:02:27","Queens","Manhattan","70.0","97.13","0.0","2.5","17.02","1.0"
"60","2025-01-01","2025-01-01 00:02:28","Manhattan","Manhattan","12.8","17.8","0.0","2.5","2.2","2.0"
"61","2025-01-01","2025-01-01 00:02:29","Queens","Manhattan","70.0","96.19","0.0","0.0","20.1","1.0"
"62","2025-01-01","2025-01-01 00:02:29","Manhattan","Manhattan","20.5","30.6","0.0","2.5","3.92","1.0"
"63","2025-01-01","2025-01-01 00:02:29","Brooklyn","Brooklyn","5.1","7.6","0.0","0.0","0.5","2.0"
"64","2025-01-01","2025-01-01 00:02:31","Manhattan","Manhattan","7.9","16.13","0.0","2.5","0.49","1.0"
"65","2025-01-01","2025-01-01 00:02:33","Manhattan","Manhattan","12.1","20.52","0.0","2.5","2.0","1.0"
"66","2025-01-01","2025-01-01 00:02:35","Manhattan","Manhattan","9.3","15.0","0.0","2.5","0.95","1.0"
"67","2025-01-01","2025-01-01 00:02:36","Queens","Brooklyn","66.7","78.95","0.0","0.0","16.72","1.0"
"68","2025-01-01","2025-01-01 00:02:40","Manhattan","Manhattan","10.0","18.0","0.0","2.5","1.17","1.0"
"69","2025-01-01","2025-01-01 00:02:42","Manhattan","Manhattan","12.1","21.4","0.0","2.5","2.2","1.0"
"70","2025-01-01","2025-01-01 00:02:42","Queens","Brooklyn","56.9","73.4","0.0","0.0","15.0","1.0"
"71","2025-01-01","2025-01-01 00:02:43","Queens","Brooklyn","97.5","100.0","0.0","0.0","25.85","1.0"
"72","2025-01-01","2025-01-01 00:02:43","Manhattan","Manhattan","14.9","23.88","0.0","2.5","2.31","1.0"
"73","2025-01-01","2025-01-01 00:02:46","Manhattan","Manhattan","18.4","29.25","0.0","2.5","2.98","1.0"
"74","2025-01-01","2025-01-01 00:02:46","Queens","Queens","27.5","36.75","0.0","0.0","6.81","2.0"
"75","2025-01-01","2025-01-01 00:02:46","Manhattan","Manhattan","21.9","30.9","0.0","2.5","4.2","1.0"
"76","2025-01-01","2025-01-01 00:02:46","Manhattan","Manhattan","18.4","28.08","0.0","2.5","4.2","1.0"
"77","2025-01-01","2025-01-01 00:02:49","Manhattan","Manhattan","5.1","7.6","0.0","0.0","0.48","4.0"
"78","2025-01-01","2025-01-01 00:02:49","Manhattan","Manhattan","12.1","20.5","0.0","2.5","2.2","1.0"
"79","2025-01-01","2025-01-01 00:02:50","Queens","Brooklyn","52.0","67.5","0.0","0.0","13.4","1.0"
"80","2025-01-01","2025-01-01 00:02:50","Manhattan","Manhattan","15.6","22.6","0.0","2.5","2.37","1.0"
"81","2025-01-01","2025-01-01 00:02:51","Queens","Brooklyn","55.5","71.35","0.0","0.0","12.51","1.0"
"82","2025-01-01","2025-01-01 00:02:53","Manhattan","Manhattan","13.5","21.5","0.0","2.5","2.7","1.0"
"83","2025-01-01","2025-01-01 00:02:54","Manhattan","Manhattan","6.5","11.5","0.0","2.5","0.65","2.0"
"84","2025-01-01","2025-01-01 00:02:57","Manhattan","Manhattan","7.2","12.2","0.0","2.5","0.86","2.0"
"85","2025-01-01","2025-01-01 00:02:57","Queens","Brooklyn","46.4","60.65","0.0","0.0","12.27","1.0"
"86","2025-01-01","2025-01-01 00:02:58","Manhattan","Brooklyn","24.0","34.8","0.0","2.5","4.29","1.0"
"87","2025-01-01","2025-01-01 00:03:00","Queens","Manhattan","40.8","59.49","0.0","2.5","10.4","1.0"
"88","2025-01-01","2025-01-01 00:03:01","Manhattan","Bronx","24.7","34.0","0.0","0.0","5.93","1.0"
"89","2025-01-01","2025-01-01 00:03:03","Manhattan","Manhattan","10.0","18.0","0.0","2.5","1.3","1.0"
"90","2025-01-01","2025-01-01 00:03:04","Manhattan","Manhattan","17.0","26.4","0.0","2.5","2.48","1.0"
"91","2025-01-01","2025-01-01 00:03:05","Manhattan","Manhattan","8.6","15.1","0.0","2.5","0.67","1.0"
"92","2025-01-01","2025-01-01 00:03:05","Manhattan","Manhattan","11.4","16.4","0.0","2.5","1.53","2.0"
"93","2025-01-01","2025-01-01 00:03:06","Manhattan","Manhattan","22.6","33.12","0.0","2.5","2.78","1.0"
"94","2025-01-01","2025-01-01 00:03:06","Manhattan","Manhattan","16.3","25.55","0.0","2.5","2.9","1.0"
"95","2025-01-01","2025-01-01 00:03:07","Manhattan","Manhattan","30.3","41.3","0.0","2.5","2.61","1.0"
"96","2025-01-01","2025-01-01 00:03:08","Manhattan","Manhattan","7.2","14.64","0.0","2.5","0.79","1.0"
"97","2025-01-01","2025-01-01 00:03:09","Manhattan","Manhattan","14.9","23.88","0.0","2.5","2.82","1.0"
"98","2025-01-01","2025-01-01 00:03:10","Manhattan","Manhattan","14.9","23.85","0.0","2.5","2.9","1.0"
"99","2025-01-01","2025-01-01 00:03:10","Queens","Manhattan","70.0","77.0","0.0","2.5","14.69","1.0"
